"Chemical Formula","Mineral Name","S0 J/mol.k","HF0 KJ/mol","V0 cm3/mol","GF0 KJ/mol","T min","T max","a1","a2","a3","a4","a5","a6","a7","Comments"
"Al","Crystal",28.35,0,9.999,0,200,933,"-2.05250e5","-8.70784e3","0.0","-1.28573e2","2.76424e1","-4.07067e-3","1.57641e-5","Al,Crystal = Al, Liquid @933 , S0 = 11.565 , H0 = 10.790 ###"
"Al","Liquid",,,,,933,1800,"0.0","-9.468e3","0.0","-1.45759e2","3.17565e1","0.0","0.0",
"HAlO2","Diaspore",35.339,-999.456,17.76,-920.945,200,800,"2.43069e5","1.04719e5","-1.73002e3","-1.021486e3","1.505560e2","0.0","0.0","HAlO2,Diaspore = HAlO2,Boehmite @ 571.86 , S0 = 24.808,H0 = 13.844 ### HAlO2,Diaspore = Al2O3,Corundum + H2O,Gas @480.90 , S0 = 169.06, H0 = 81.304 ###"
"HAlO2","Boehmite",48.44,-990.42,19.535,-915.82,200,800,"7.77111e5","3.04561e4","-2.59274e3","-1.42636e3","2.06903e2","0.0","0.0","HAlO2,Boehmite = Al2O3,Corundum + H2O,Gas @449.32, S0 = 130.726, H0 = 58.738 ###"
"Al(OH)3","Gibbsite",68.44,-1293.334,31.956,-1155.197,200,800,"6.617044e5","2.582430e4","-2.667640e3","-1.513072e3","2.208509e2","3.006455e-2","0.0",
"CaAl2SiO6","Ca-Al Clinopyroxene",141.6,-3298.9,63.439,-3122.9,298.15,2000,"-2.72024e6","2.98963e4","-2.18582e3","-1.96633e3","3.22040e2","0.0","0.0",
"CaAl2Si2O8","Anorthite",199.29,-4227.8,100.79,-4002.2,200,1800,"3.18591e6","1.10301e5","-9.44981e3","-5.35832e3","8.00971e2","-1.46450e-1","1.05663e-4",
"Ca2Al2Si3O10(OH)2","Prehnite",292.745,-6193.631,140.326,-5816.655,298.15,1250,"2.755226e6","1.842781e5","-1.056051e4","-6.270704e3","9.46022e2","-5.753272e-2","0.0",
"Ca2Al2SiO7","Gehlenite",209.89,-3981.7,90.24,-3783,200,1800,"1.51047e6","5.19543e4","-6.27433e3","-3.82222e3","5.88351e2","-6.71533e-2","3.89086e-5",
"Ca3Al2Si3O12","Grossular",256,-6636.3,125.3,-6274.9,200,1600,"1.77080e6","9.02292e4","-1.07077e4","-6.53238e3","9.05062e2","-9.66435e-2","3.35314e-5",
"Al2Si4O10(OH)2","Pyrophyllite",239.424,-5642.023,127.82,-5268.357,200,1000,"6.069358e6","2.311270e5","-1.774285e4","-9.850236e3","1.454512e3","-3.960932e-1","3.971889e-4",
"Al2Si2O5(OH)4","Dickite",197.058,-4118.475,99.3,-3796.16,200,1000,"3.804450e6","1.379448e5","-1.119531e4","-6.190732e3","9.083598e2","-1.056632e-1","0.0",
"Al2Si2O5(OH)4","Halloysite",203.334,-4101.028,,-3780.584,200,1000,"1.936712e6","8.41514e4","-8.729481e3","-5.153860e3","7.723004e2","-7.258844e-2","0.0",
"Al2Si2O5(OH)4","Kaolinite",205,-4119.8,99.52,-3799.8,200,1000,"1.49195e6","7.35514e4","-8.27864e3","-4.97366e3","7.49175e2","-6.77102e-2","0.0",
"Al2O3","Corundum",50.917,-1675.711,25.575,-1582.291,200,1800,"0.0","1.7321e4","-2.46518e3","-1.55092e3","2.33004e2","-1.95913e-2","9.44410e-6",
"Al2SiO5","Kyanite",84.47,-2594.27,44.22,-2444.11,200,1800,"0.0","2.37951e4","-3.55746e3","-2.23489e3","3.36114e2","-1.29800e-2","0.0","Al2SiO5,Kyanite = Al2SiO5,Andalusite @430.46, S0 = 9.20, H0 = 3.96 ###"
"Al2SiO5","Andalusite",93.78,-2590.27,51.58,-2442.89,200,1800,"2.28751e6","8.75787e4","-6.75436e3","-3.71202e3","3.134705e2","-1.03545e-1","0.0","Al2SiO5,Andalusite = Al2SiO5,Sillimanite @1016.9, S0 = 2.92, H0 = 2.97 ###"
"Al2SiO5","Sillimanite",96.09,-2587.774,50.049,-2441.083,200,1800,"0.0","1.667620e4","-3.164868e3","-2.050871e3","3.134705e2","-9.470810e-3","0.0",
"Ca2Al3Si3O12(OH)","Zoisite",295.885,-6891.117,136.52,-6495.524,200,1250,"0.0","1.225488e5","-8.148754e3","5.391475e3","8.346223e2","-1.984469e-2","0.0",
