Chemical Formula,Phase,S0(Cal/degmole),Hf0 pred Mos kJ/mol,T min,T max,a1,a2,a3,a4,a5,Notes
Ca3Al2O6,Crystal,49.1,-3587.8,298,1800,62.28,2.29e-3,12.01e5,-22801,-362.9671309,Bard
Ca12Al14O33,alpha,249.7,-19429.998,298,1310,301.96,32.75e-3,55.3e5,-111491,-1771.0797928,Barin
Ca12Al14O33,beta,249.7,-19429.998,1310,1700,228.52,49.22e-3,0,-39327,-1285.483641,Barin
CaAl2O4,Crystal,27.3,-2326.3,298,1800,36.00,2.98e-3,7.96e5,-13668,-211.367727406,Bard
CaAl4O7,Crystal,42.5,-3977.7,298,1800,66.09,2.74e-3,17.8e5,-25919,-388.200018289,Bard
MgAl2O4,Crystal,19.26,-2312.2,298,1800,36.8,3.2e-3,9.78e5,-14537,-217.080688566,Bard
CaFe2O4,Crystal,34.7,-1520.34,298,1510,39.42,2.38e-3,3.66e5,-13194,-228.07710153,Bard
CaFe2O4,Liquid,34.7,-1520.34,1510,1800,54.9,0,0,-5030,-316.930584646,Bard
Ca2Fe2O5,Crystal,45.1,-2139.28,298,1750,59.24,0,11.68e5,-21580,-344.095294357,Bard
Ca2Fe2O5,Liquid,45.1,-2139.28,1750,1850,74.20,0,0,-10980,-435.168933165,Bard
MgFe2O4,alpha,28.3,-1427.7,298,665,21.06,22.29e-3,0,-8261,-133.28291383,Bard
MgFe2O4,beta,28.3,-1427.7,665,1230,45.4,0,0,-14590,-261.8420304,Bard
MgFe2O4,gamma,28.3,-1427.7,1230,1800,25.67,6.79e-3,0,-247,-138.171029184,Bard
Al2TiO5,Crystal,26.2,-2628.807,298,1800,43.63,2.65e-3,11.21e5,-17004,-256.47164311,Barin
Fe2TiO4,Crystal,169.034,-1515.236,298,1600,33.34,7.54e-3,3.4e5,-11751,-196.366378959,Barin
Zn2TiO4,Crystal,32.8,-1652.061,298,1800,39.82,2.77e-3,7.69e5,-14698,-232.855456605,Barin
