"Species ","Phase","T","Cp¡","S¡","(Gt¡-H¡tr)/T","Ht¡-H¡tr","_H¡f,e","_G¡f,e","log K¡f,e","_H¡f, ox","_G¡f, ox","log K¡f, ox","Hfe298"
"Al","Crystal",300,24.338,28.5,-28.351,45,0,0,0,"NA","NA","NA",0
"Al","Crystal",650,28.525,48.747,-34.441,9299,0,0,0,"NA","NA","NA",0
"Al","Crystal",933,33.533,59.84,-40.518,18027,0,0,0,"NA","NA","NA",0
"Al","Liquid",933,31.756,71.405,-40.518,28817,0,0,0,"NA","NA","NA",0
"Al","Liquid",1050,31.756,75.157,-44.173,32532,0,0,0,"NA","NA","NA",0
"Al","Liquid",1800,31.756,92.273,-60.968,56360,0,0,0,"NA","NA","NA",0
"HAlO2","Diaspore",300,53.374,35.668,-35.34,98,-999484,-920457,160.266,-18741,-11172,1.945,-999456
"HAlO2","Diaspore",450,70.202,60.806,-39.732,9483,-1000594,-880621,102.22,-40739,-2615,0.304,-999456
"HAlO2","Diaspore",571.86,78.955,78.696,-46.168,18601,-1000349,-848146,77.471,-40241,7656,-0.699,-999456
"HAlO2","Boehmite",571.86,100.858,102.904,-46.167,32446,-986505,-848146,77.471,-26397,7656,-0.699,-999456
"HAlO2","Boehmite",650,107.047,116.221,-53.797,40575,-984227,-829385,66.65,-24096,12162,-0.977,-999456
"HAlO2","Boehmite",700,110.493,124.282,-58.546,46015,-982603,-817534,61.005,-22484,14891,-1.111,-999456
"Al(OH)3","Gibbsite",298.15,91.729,68.44,-68.44,0,-1293334,-1155197,"NA",-26766,-8311,1.456,-1293334
"Al(OH)3","Gibbsite",350,104.706,84.185,-69.612,5101,-1294071,-1131105,168.808,-29700,-4854,0.724,-1293334
"Al(OH)3","Gibbsite",550,142.361,139.954,-85.298,30061,-1292350,-1038096,"NA",-87923,38280,-3.635,-1293334
"Al(OH)3","Gibbsite",750,169.716,188.303,-106.464,61379,-1285312,-946657,65.931,-79120,82849,-5.77,-1293334
"CaAl2SiO6","Ca-Al Clinopyroxene",350,183.805,169.673,-143.709,9087,-3299427,-3092193,461.484,-77430,-81350,12.141,-3298900
"CaAl2SiO6","Ca-Al Clinopyroxene",600,226.056,281.16,-179.053,61264,-3296351,-2944748,256.363,-77299,-84228,7.333,-3298900
"CaAl2SiO6","Ca-Al Clinopyroxene",900,246.629,377.215,-229.947,132541,-3291262,-2770058,160.77,-78828,-87458,5.076,-3298900
"CaAl2SiO6","Ca-Al Clinopyroxene",1250,259.283,460.39,-283.366,221280,-3313894,-2560034,106.978,-77722,-90990,3.802,-3298900
"CaAl2SiO6","Ca-Al Clinopyroxene",1500,265.202,508.213,-316.962,286877,-3305525,-2410034,83.925,-76839,-93728,3.264,-3298900
"CaAl2SiO6","Ca-Al Clinopyroxene",1800,270.488,557.056,-353.017,367270,-3497557,-2224591,64.556,-76171,-97180,2.82,-3298900
"CaAl2Si2O8","Anorthite",500,271.072,325.005,-225.812,49597,-4227233,-3849193,402.122,-95703,-109314,11.42,-4227800
"CaAl2Si2O8","Anorthite",750,301.337,441.496,-279.262,121675,-4222255,-3661332,254.998,-97429,-115851,8.069,-4227800
